Part,Aid type,Amount type,Recipient,Donor,Year,Value,Flags
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2003",6.31,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2004",18.93,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2005",43.27,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2006",22.96,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2007",17.62,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2008",21.96,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2009",43.58,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2010",61.22,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2011",58.22,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Australia","2012",44.18,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2003",13.87,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2004",35.37,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2005",74.75,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2006",38.21,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2007",25.38,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2008",30.1,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2009",63.01,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2010",71.35,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2011",58.04,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2012",44.18,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Australia","2003",6.31,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Australia","2004",18.93,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Australia","2005",43.27,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Australia","2006",22.96,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Australia","2007",17.62,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Australia","2008",21.96,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Australia","2009",43.58,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Australia","2010",61.22,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Australia","2011",58.22,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Australia","2012",44.18,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2003",13.87,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2004",35.37,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2005",74.75,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2006",38.21,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2007",25.38,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2008",30.1,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2009",63.01,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2010",71.35,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2011",58.04,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2012",44.18,
"1 : Part I - Developing Countries","Grants: Debt Forgiveness","Current Prices (USD millions)","Sri Lanka","Australia","2006",0.11,
"1 : Part I - Developing Countries","Grants: Debt Forgiveness","Constant Prices (2012 USD millions)","Sri Lanka","Australia","2006",0.18,
